Epot = -1.3554eV  Ekin = 0.0391eV (T=302K)  Etot = -1.3163eV  Density = 0.9164 g/cm³
Epot = -1.3547eV  Ekin = 0.0383eV (T=296K)  Etot = -1.3164eV  Density = 0.9172 g/cm³
Epot = -1.3540eV  Ekin = 0.0377eV (T=292K)  Etot = -1.3162eV  Density = 0.9156 g/cm³
Epot = -1.3547eV  Ekin = 0.0386eV (T=298K)  Etot = -1.3161eV  Density = 0.9151 g/cm³
Epot = -1.3552eV  Ekin = 0.0388eV (T=300K)  Etot = -1.3163eV  Density = 0.9148 g/cm³
Epot = -1.3551eV  Ekin = 0.0388eV (T=300K)  Etot = -1.3163eV  Density = 0.9135 g/cm³
Epot = -1.3547eV  Ekin = 0.0381eV (T=295K)  Etot = -1.3166eV  Density = 0.9150 g/cm³
Epot = -1.3556eV  Ekin = 0.0389eV (T=301K)  Etot = -1.3167eV  Density = 0.9162 g/cm³
Epot = -1.3550eV  Ekin = 0.0385eV (T=298K)  Etot = -1.3165eV  Density = 0.9152 g/cm³
Epot = -1.3562eV  Ekin = 0.0397eV (T=307K)  Etot = -1.3165eV  Density = 0.9153 g/cm³
Epot = -1.3545eV  Ekin = 0.0382eV (T=296K)  Etot = -1.3163eV  Density = 0.9145 g/cm³
Epot = -1.3536eV  Ekin = 0.0374eV (T=289K)  Etot = -1.3162eV  Density = 0.9137 g/cm³
Epot = -1.3544eV  Ekin = 0.0382eV (T=295K)  Etot = -1.3163eV  Density = 0.9131 g/cm³
Epot = -1.3561eV  Ekin = 0.0397eV (T=307K)  Etot = -1.3164eV  Density = 0.9127 g/cm³
Epot = -1.3549eV  Ekin = 0.0385eV (T=298K)  Etot = -1.3164eV  Density = 0.9126 g/cm³
Epot = -1.3545eV  Ekin = 0.0383eV (T=296K)  Etot = -1.3162eV  Density = 0.9125 g/cm³
Epot = -1.3554eV  Ekin = 0.0392eV (T=303K)  Etot = -1.3162eV  Density = 0.9129 g/cm³
Epot = -1.3556eV  Ekin = 0.0390eV (T=301K)  Etot = -1.3166eV  Density = 0.9144 g/cm³
Epot = -1.3539eV  Ekin = 0.0375eV (T=290K)  Etot = -1.3164eV  Density = 0.9137 g/cm³
Epot = -1.3551eV  Ekin = 0.0387eV (T=299K)  Etot = -1.3164eV  Density = 0.9130 g/cm³
Epot = -1.3541eV  Ekin = 0.0373eV (T=288K)  Etot = -1.3168eV  Density = 0.9134 g/cm³
Epot = -1.3551eV  Ekin = 0.0386eV (T=299K)  Etot = -1.3165eV  Density = 0.9118 g/cm³
Epot = -1.3555eV  Ekin = 0.0391eV (T=303K)  Etot = -1.3164eV  Density = 0.9111 g/cm³
Epot = -1.3546eV  Ekin = 0.0382eV (T=295K)  Etot = -1.3165eV  Density = 0.9107 g/cm³
Epot = -1.3546eV  Ekin = 0.0383eV (T=296K)  Etot = -1.3163eV  Density = 0.9116 g/cm³
Epot = -1.3554eV  Ekin = 0.0389eV (T=301K)  Etot = -1.3165eV  Density = 0.9127 g/cm³
Epot = -1.3542eV  Ekin = 0.0377eV (T=292K)  Etot = -1.3165eV  Density = 0.9128 g/cm³
Epot = -1.3547eV  Ekin = 0.0380eV (T=294K)  Etot = -1.3166eV  Density = 0.9142 g/cm³
Epot = -1.3561eV  Ekin = 0.0393eV (T=304K)  Etot = -1.3168eV  Density = 0.9147 g/cm³
Epot = -1.3555eV  Ekin = 0.0386eV (T=299K)  Etot = -1.3169eV  Density = 0.9155 g/cm³
