# step Q_left_e Q_right_e Q_total_e
346000 -5.4238367132 5.3726369622 -0.0511997510
347000 -5.4183889915 5.3671889966 -0.0511999949
348000 -5.4577254490 5.4065254796 -0.0511999694
349000 -5.4262360475 5.3750359545 -0.0512000930
350000 -5.5572399425 5.5060398916 -0.0512000509
351000 -5.4239273594 5.3727273021 -0.0512000573
352000 -5.6320556055 5.5808551931 -0.0512004124
353000 -5.6496557039 5.5984555801 -0.0512001239
354000 -5.5926240933 5.5414243343 -0.0511997590
355000 -5.5605068580 5.5093075053 -0.0511993527
356000 -5.4982736796 5.4470737858 -0.0511998938
357000 -5.6408707822 5.5896705682 -0.0512002140
358000 -5.6916606567 5.6404606698 -0.0511999869
359000 -5.6418142927 5.5906145100 -0.0511997827
360000 -5.6872572915 5.6360578592 -0.0511994323
361000 -5.6644334015 5.6132336577 -0.0511997439
362000 -5.5481813203 5.4969813630 -0.0511999573
363000 -5.5869017751 5.5357019382 -0.0511998369
364000 -5.7354167209 5.6842168090 -0.0511999119
365000 -5.7131982363 5.6619980794 -0.0512001569
366000 -5.5743284565 5.5231286953 -0.0511997612
367000 -5.6433213591 5.5921207794 -0.0512005796
368000 -5.5777818407 5.5265818248 -0.0512000159
369000 -5.6548267789 5.6036265997 -0.0512001793
370000 -5.6487519797 5.5975520557 -0.0511999240
371000 -5.7015565470 5.6503565153 -0.0512000317
372000 -5.7186344827 5.6674338470 -0.0512006357
373000 -5.7259291837 5.6747291887 -0.0511999950
374000 -5.6952647131 5.6440646534 -0.0512000597
375000 -5.7173080208 5.6661081560 -0.0511998648
376000 -5.7168901801 5.6656899657 -0.0512002144
377000 -5.6439881605 5.5927881547 -0.0512000058
378000 -5.6095429939 5.5583428679 -0.0512001260
379000 -5.5857770710 5.5345771459 -0.0511999251
380000 -5.5649690758 5.5137689923 -0.0512000836
381000 -5.5306227362 5.4794227373 -0.0511999989
382000 -5.6154765461 5.5642768309 -0.0511997152
383000 -5.7100767733 5.6588767569 -0.0512000164
384000 -5.6179684172 5.5667683323 -0.0512000850
385000 -5.6290490413 5.5778489463 -0.0512000950
386000 -5.6086057641 5.5574060747 -0.0511996894
387000 -5.5764907673 5.5252906242 -0.0512001431
388000 -5.7078447053 5.6566445474 -0.0512001580
389000 -5.6446962619 5.5934962898 -0.0511999720
390000 -5.6181168863 5.5669169605 -0.0511999258
391000 -5.5409268333 5.4897271066 -0.0511997266
392000 -5.6052347821 5.5540344696 -0.0512003124
393000 -5.5674622752 5.5162624656 -0.0511998095
394000 -5.5591130443 5.5079130720 -0.0511999723
395000 -5.6589721547 5.6077721891 -0.0511999656
396000 -5.6805287225 5.6293287296 -0.0511999929
397000 -5.5463980776 5.4951978438 -0.0512002339
398000 -5.5407847146 5.4895847670 -0.0511999476
399000 -5.6904749587 5.6392750365 -0.0511999222
400000 -5.4912966064 5.4400964407 -0.0512001656
401000 -5.6687230850 5.6175232525 -0.0511998325
402000 -5.5417458296 5.4905457820 -0.0512000476
403000 -5.5658448754 5.5146448954 -0.0511999800
404000 -5.5843548422 5.5331547902 -0.0512000520
405000 -5.6573106775 5.6061104375 -0.0512002399
406000 -5.4539954251 5.4027956087 -0.0511998164
407000 -5.5420628431 5.4908629848 -0.0511998583
408000 -5.5816405023 5.5304403902 -0.0512001121
409000 -5.7187962246 5.6675962301 -0.0511999945
410000 -5.7212526287 5.6700522993 -0.0512003294
411000 -5.6557201245 5.6045196613 -0.0512004632
412000 -5.6550681458 5.6038680150 -0.0512001308
413000 -5.5223902892 5.4711909160 -0.0511993732
414000 -5.6168332387 5.5656333144 -0.0511999243
415000 -5.5380903232 5.4868901275 -0.0512001957
416000 -5.5050114961 5.4538116244 -0.0511998717
417000 -5.5066346999 5.4554346902 -0.0512000096
418000 -5.5260612799 5.4748611692 -0.0512001107
419000 -5.5766036629 5.5254037087 -0.0511999542
420000 -5.6403766132 5.5891761505 -0.0512004627
421000 -5.6835867462 5.6323863448 -0.0512004014
422000 -5.6392708664 5.5880711456 -0.0511997208
423000 -5.5116610345 5.4604611731 -0.0511998615
424000 -5.5828733691 5.5316736641 -0.0511997050
425000 -5.6486061093 5.5974062409 -0.0511998684
426000 -5.5775933737 5.5263933055 -0.0512000682
427000 -5.5727249866 5.5215249974 -0.0511999892
428000 -5.5795520871 5.5283518079 -0.0512002792
429000 -5.6690788394 5.6178790013 -0.0511998381
430000 -5.5324967927 5.4812971109 -0.0511996818
431000 -5.5850536037 5.5338535463 -0.0512000575
432000 -5.7797908033 5.7285908400 -0.0511999633
433000 -5.6466828121 5.5954821726 -0.0512006396
434000 -5.7419637835 5.6907634189 -0.0512003646
435000 -5.7071769550 5.6559771157 -0.0511998392
436000 -5.5608958883 5.5096960020 -0.0511998862
437000 -5.6488791708 5.5976790906 -0.0512000802
438000 -5.7593049065 5.7081049550 -0.0511999514
439000 -5.6750245766 5.6238246226 -0.0511999540
440000 -5.6998339684 5.6486337209 -0.0512002475
441000 -5.6853764404 5.6341762848 -0.0512001556
442000 -5.5405937388 5.4893939417 -0.0511997971
443000 -5.6096378978 5.5584376527 -0.0512002452
444000 -5.6926858424 5.6414857764 -0.0512000660
445000 -5.7501325619 5.6989325257 -0.0512000362
446000 -5.6662825260 5.6150820230 -0.0512005030
447000 -5.7542489844 5.7030491441 -0.0511998403
448000 -5.7617008907 5.7105003027 -0.0512005880
449000 -5.7590455222 5.7078453825 -0.0512001397
450000 -5.6784335489 5.6272329992 -0.0512005496
451000 -5.7160121049 5.6648120271 -0.0512000778
452000 -5.5089619480 5.4577620956 -0.0511998524
453000 -5.4605985241 5.4093982548 -0.0512002693
454000 -5.6778690106 5.6266690188 -0.0511999918
455000 -5.5757438564 5.5245438670 -0.0511999894
456000 -5.6707137267 5.6195139355 -0.0511997911
457000 -5.8176449814 5.7664449327 -0.0512000488
458000 -5.6275730168 5.5763729172 -0.0512000996
459000 -5.4453078386 5.3941078050 -0.0512000336
460000 -5.5429836788 5.4917836491 -0.0512000297
461000 -5.4725106519 5.4213104326 -0.0512002193
462000 -5.5871127079 5.5359126548 -0.0512000531
463000 -5.5897709767 5.5385710173 -0.0511999594
464000 -5.5227466453 5.4715465467 -0.0512000986
465000 -5.5421293674 5.4909295985 -0.0511997689
466000 -5.4248194195 5.3736193719 -0.0512000476
467000 -5.5027575281 5.4515573941 -0.0512001340
468000 -5.4284008582 5.3772001284 -0.0512007298
469000 -5.4555476517 5.4043474577 -0.0512001941
470000 -5.4975340934 5.4463342163 -0.0511998772
471000 -5.5934462378 5.5422464516 -0.0511997862
472000 -5.4593953181 5.4081954959 -0.0511998222
473000 -5.4280190879 5.3768190246 -0.0512000633
474000 -5.5407106091 5.4895104724 -0.0512001367
475000 -5.5387526093 5.4875527653 -0.0511998440
476000 -5.4256548232 5.3744548735 -0.0511999497
477000 -5.4291882482 5.3779883985 -0.0511998497
478000 -5.4241143584 5.3729149012 -0.0511994571
479000 -5.5054595708 5.4542597113 -0.0511998595
480000 -5.5020809236 5.4508807217 -0.0512002020
481000 -5.5586892292 5.5074893835 -0.0511998457
482000 -5.6319816739 5.5807818698 -0.0511998041
483000 -5.6218304647 5.5706303333 -0.0512001314
484000 -5.7320812410 5.6808811736 -0.0512000674
485000 -5.7164241908 5.6652247554 -0.0511994354
486000 -5.6799992381 5.6287989797 -0.0512002584
487000 -5.6790611260 5.6278612090 -0.0511999170
488000 -5.7101490207 5.6589488545 -0.0512001661
489000 -5.7473785691 5.6961786950 -0.0511998741
490000 -5.6575599795 5.6063599534 -0.0512000261
491000 -5.7306926280 5.6794925382 -0.0512000897
492000 -5.6947012802 5.6435019923 -0.0511992879
493000 -5.6841546982 5.6329540790 -0.0512006192
494000 -5.7162678442 5.6650679808 -0.0511998634
495000 -5.7364378300 5.6852374634 -0.0512003666
496000 -5.7346217360 5.6834216514 -0.0512000846
497000 -5.7013521953 5.6501521484 -0.0512000469
498000 -5.7006987981 5.6494989274 -0.0511998706
499000 -5.5513240974 5.5001240685 -0.0512000290
500000 -5.6929668529 5.6417666995 -0.0512001534
501000 -5.6012582011 5.5500587062 -0.0511994949
502000 -5.7124429918 5.6612426606 -0.0512003312
503000 -5.5417514492 5.4905518483 -0.0511996009
504000 -5.6567291492 5.6055294935 -0.0511996556
505000 -5.4988254344 5.4476251770 -0.0512002574
506000 -5.4756898228 5.4244897458 -0.0512000771
507000 -5.6365896097 5.5853895491 -0.0512000606
508000 -5.5955020846 5.5443015130 -0.0512005716
509000 -5.5328621482 5.4816620864 -0.0512000618
510000 -5.6633273724 5.6121273760 -0.0511999964
511000 -5.6528784032 5.6016781838 -0.0512002194
512000 -5.5022340227 5.4510340140 -0.0512000087
513000 -5.4738756316 5.4226753053 -0.0512003263
514000 -5.6457329891 5.5945336190 -0.0511993701
515000 -5.7180168843 5.6668165956 -0.0512002887
516000 -5.5899148268 5.5387155975 -0.0511992293
517000 -5.6403702283 5.5891701458 -0.0512000825
518000 -5.7499153144 5.6987148166 -0.0512004978
519000 -5.6999203572 5.6487204314 -0.0511999258
520000 -5.6001481111 5.5489481330 -0.0511999781
521000 -5.7028450044 5.6516449016 -0.0512001028
522000 -5.6089332287 5.5577331964 -0.0512000322
523000 -5.5331772278 5.4819768303 -0.0512003975
524000 -5.6427693208 5.5915692217 -0.0512000991
525000 -5.6064797497 5.5552795972 -0.0512001525
526000 -5.4933346910 5.4421349774 -0.0511997136
527000 -5.4701167406 5.4189167616 -0.0511999790
528000 -5.5798529568 5.5286529307 -0.0512000261
529000 -5.6155244679 5.5643243024 -0.0512001655
530000 -5.5695628525 5.5183623525 -0.0512005000
531000 -5.7364741494 5.6852742325 -0.0511999169
532000 -5.7073693244 5.6561696535 -0.0511996709
533000 -5.6645282351 5.6133287798 -0.0511994553
534000 -5.7036399986 5.6524399254 -0.0512000732
535000 -5.6294273384 5.5782275205 -0.0511998179
