z_angstrom,LiA_number_density_per_nm3,PF6_number_density_per_nm3,ECA_number_density_per_nm3,DMC_number_density_per_nm3,CAT_number_density_per_nm3,ANO_number_density_per_nm3
28.205493,5.9246416287e-01,1.1849283257e+00,1.3824163800e+00,4.3447371944e+00,0.0000000000e+00,0.0000000000e+00
28.372885,9.8744027145e-01,3.9497610858e-01,2.5673447058e+00,5.5296655201e+00,0.0000000000e+00,0.0000000000e+00
28.540276,3.9497610858e-01,0.0000000000e+00,2.1723685972e+00,3.5547849772e+00,0.0000000000e+00,0.0000000000e+00
28.707668,7.8995221716e-01,3.9497610858e-01,2.1723685972e+00,5.5296655201e+00,0.0000000000e+00,0.0000000000e+00
28.875060,1.1849283257e+00,7.8995221716e-01,2.1723685972e+00,5.9246416287e+00,0.0000000000e+00,0.0000000000e+00
29.042451,3.9497610858e-01,1.1849283257e+00,2.7648327601e+00,4.9372013573e+00,0.0000000000e+00,0.0000000000e+00
29.209843,1.9748805429e-01,3.9497610858e-01,2.1723685972e+00,4.9372013573e+00,0.0000000000e+00,0.0000000000e+00
29.377235,9.8744027145e-01,7.8995221716e-01,2.1723685972e+00,4.5422252487e+00,0.0000000000e+00,0.0000000000e+00
29.544626,7.8995221716e-01,1.1849283257e+00,2.7648327601e+00,5.5296655201e+00,0.0000000000e+00,0.0000000000e+00
29.712018,1.9748805429e-01,7.8995221716e-01,1.1849283257e+00,5.5296655201e+00,0.0000000000e+00,0.0000000000e+00
29.879410,1.9748805429e-01,1.5799044343e+00,1.5799044343e+00,4.3447371944e+00,0.0000000000e+00,0.0000000000e+00
30.046801,7.8995221716e-01,5.9246416287e-01,2.7648327601e+00,4.3447371944e+00,0.0000000000e+00,0.0000000000e+00
30.214193,0.0000000000e+00,3.9497610858e-01,2.1723685972e+00,4.9372013573e+00,0.0000000000e+00,0.0000000000e+00
30.381584,0.0000000000e+00,1.9748805429e-01,1.5799044343e+00,4.9372013573e+00,0.0000000000e+00,0.0000000000e+00
30.548976,1.9748805429e-01,5.9246416287e-01,1.1849283257e+00,5.3321774658e+00,0.0000000000e+00,0.0000000000e+00
30.716368,1.9748805429e-01,0.0000000000e+00,1.1849283257e+00,3.9497610858e+00,0.0000000000e+00,0.0000000000e+00
30.883759,1.9748805429e-01,1.1849283257e+00,1.9748805429e+00,4.9372013573e+00,0.0000000000e+00,0.0000000000e+00
31.051151,1.9748805429e-01,1.5799044343e+00,1.9748805429e+00,4.3447371944e+00,0.0000000000e+00,0.0000000000e+00
31.218543,3.9497610858e-01,5.9246416287e-01,3.1598088686e+00,6.3196177373e+00,0.0000000000e+00,0.0000000000e+00
31.385934,5.9246416287e-01,1.9748805429e-01,2.1723685972e+00,4.5422252487e+00,0.0000000000e+00,0.0000000000e+00
31.553326,0.0000000000e+00,7.8995221716e-01,2.7648327601e+00,3.7522730315e+00,0.0000000000e+00,0.0000000000e+00
31.720718,1.9748805429e-01,5.9246416287e-01,3.3572969229e+00,4.9372013573e+00,0.0000000000e+00,0.0000000000e+00
31.888109,1.9748805429e-01,5.9246416287e-01,4.1472491401e+00,4.9372013573e+00,0.0000000000e+00,0.0000000000e+00
32.055501,1.9748805429e-01,1.9748805429e-01,2.3698566515e+00,3.5547849772e+00,0.0000000000e+00,0.0000000000e+00
