z_A,LiA_molCOM,PF6_molCOM,EC_Oc(O00),DMC_Oc(O01)
220.346184,1.3213483735e-05,1.2484022248e-05,3.9704331467e-05,7.3660517705e-05
221.473274,7.2284121154e-06,5.9501800841e-06,3.4669293004e-05,7.3793311607e-05
222.600365,1.0563537200e-05,4.4216684404e-06,3.2097006226e-05,6.9432812620e-05
223.727455,5.9261351288e-06,6.6856614922e-06,2.0804665356e-05,6.5113592217e-05
224.854546,9.3697394625e-06,7.5349370191e-06,2.7755050132e-05,5.1155728599e-05
225.981636,3.2243949067e-06,4.7748155001e-06,3.9055463261e-05,5.6410632713e-05
227.108727,1.0310080313e-05,3.7459684015e-06,2.8289263370e-05,4.6411773609e-05
228.235817,7.2518077837e-06,2.9149649299e-06,2.6043611852e-05,4.8959927374e-05
229.362907,7.3559398988e-06,6.3110628185e-06,2.4204304018e-05,4.6524658898e-05
230.489998,9.3130688043e-06,6.0054464398e-06,2.6442577441e-05,4.1937701641e-05
231.617088,4.1972611962e-06,7.3086903321e-06,2.5641211278e-05,4.7025919300e-05
232.744179,4.4585063797e-06,2.7860558809e-06,2.6349307869e-05,4.1175145073e-05
233.871269,4.0511941246e-06,4.1345597515e-06,2.4941748427e-05,4.4566911977e-05
234.998360,7.1471795705e-06,7.2508466499e-06,2.1083077804e-05,4.2703051425e-05
236.125450,2.2924589398e-06,1.9165557597e-06,1.5430603433e-05,2.6804693892e-05
237.252541,5.2860095495e-06,3.6219567406e-06,1.8948292400e-05,4.3023893583e-05
238.379631,1.3848554505e-06,3.8938333069e-06,1.5968229039e-05,3.6774215642e-05
239.506721,2.1873791592e-06,6.0459008910e-06,1.9784237190e-05,4.2245276734e-05
240.633812,3.0544975691e-06,2.0032051087e-06,1.7830168668e-05,2.6137949555e-05
241.760902,4.8112868931e-06,1.6623135956e-06,1.4107932397e-05,2.8853529301e-05
242.887993,6.3958552399e-06,4.9060356754e-06,1.3685309101e-05,2.8831511231e-05
244.015083,3.5327634050e-06,4.9812611476e-07,1.5994160329e-05,2.3801107792e-05
245.142174,2.8884488796e-06,3.8755554322e-06,9.5482536672e-06,2.4557849018e-05
246.269264,2.0819566051e-06,2.1509908127e-06,1.1803085592e-05,2.9440060243e-05
247.396355,7.3549558788e-07,1.4365653083e-06,1.4910056335e-05,2.2731627453e-05
248.523445,3.6635005195e-06,1.3655686217e-06,1.4325256676e-05,2.4711659205e-05
249.650536,1.0754954064e-06,1.6179322608e-06,1.3824211780e-05,2.1310530791e-05
250.777626,2.8864864006e-06,8.8243667294e-07,1.3474352610e-05,2.3449445299e-05
251.904716,1.6179322608e-06,2.5273789776e-06,8.3891528044e-06,1.4098830367e-05
253.031807,0.0000000000e+00,2.5273789776e-06,6.7699132209e-06,1.2061400887e-05
