z_angstrom,LiA_number_density_per_nm3,PF6_number_density_per_nm3,ECA_number_density_per_nm3,DMC_number_density_per_nm3
20.338085,1.1849283257e+00,1.9748805429e-01,2.5673447058e+00,3.7522730315e+00
20.505477,5.9246416287e-01,9.8744027145e-01,2.5673447058e+00,2.9623208144e+00
20.672869,3.9497610858e-01,1.3824163800e+00,3.7522730315e+00,4.5422252487e+00
20.840260,0.0000000000e+00,5.9246416287e-01,2.5673447058e+00,5.5296655201e+00
21.007652,1.9748805429e-01,5.9246416287e-01,2.7648327601e+00,4.9372013573e+00
21.175044,1.9748805429e-01,5.9246416287e-01,3.1598088686e+00,3.3572969229e+00
21.342435,5.9246416287e-01,7.8995221716e-01,2.1723685972e+00,4.1472491401e+00
21.509827,3.9497610858e-01,5.9246416287e-01,2.1723685972e+00,4.5422252487e+00
21.677219,1.9748805429e-01,1.9748805429e-01,2.7648327601e+00,4.1472491401e+00
21.844610,1.9748805429e-01,1.9748805429e-01,3.5547849772e+00,4.9372013573e+00
22.012002,3.9497610858e-01,7.8995221716e-01,2.5673447058e+00,6.1221296830e+00
22.179394,3.9497610858e-01,0.0000000000e+00,1.9748805429e+00,3.9497610858e+00
22.346785,0.0000000000e+00,3.9497610858e-01,2.1723685972e+00,3.1598088686e+00
22.514177,1.9748805429e-01,3.9497610858e-01,2.5673447058e+00,3.5547849772e+00
22.681569,1.9748805429e-01,1.9748805429e-01,2.7648327601e+00,4.9372013573e+00
22.848960,5.9246416287e-01,3.9497610858e-01,2.3698566515e+00,4.7397133030e+00
23.016352,5.9246416287e-01,7.8995221716e-01,2.1723685972e+00,5.5296655201e+00
23.183744,5.9246416287e-01,3.9497610858e-01,2.9623208144e+00,5.7271535744e+00
23.351135,7.8995221716e-01,5.9246416287e-01,2.7648327601e+00,3.7522730315e+00
23.518527,1.9748805429e-01,3.9497610858e-01,4.5422252487e+00,3.9497610858e+00
23.685918,3.9497610858e-01,0.0000000000e+00,2.7648327601e+00,3.9497610858e+00
23.853310,3.9497610858e-01,1.9748805429e-01,1.9748805429e+00,4.3447371944e+00
24.020702,0.0000000000e+00,1.9748805429e-01,1.5799044343e+00,3.5547849772e+00
24.188093,5.9246416287e-01,3.9497610858e-01,2.7648327601e+00,6.3196177373e+00
24.355485,1.9748805429e-01,1.9748805429e-01,2.5673447058e+00,5.1346894116e+00
24.522877,0.0000000000e+00,3.9497610858e-01,2.3698566515e+00,5.7271535744e+00
24.690268,5.9246416287e-01,5.9246416287e-01,3.3572969229e+00,4.5422252487e+00
24.857660,1.9748805429e-01,1.9748805429e-01,3.5547849772e+00,5.1346894116e+00
25.025052,1.9748805429e-01,5.9246416287e-01,1.9748805429e+00,4.9372013573e+00
25.192443,1.9748805429e-01,0.0000000000e+00,3.3572969229e+00,4.7397133030e+00
25.359835,9.8744027145e-01,5.9246416287e-01,1.9748805429e+00,4.1472491401e+00
25.527227,3.9497610858e-01,9.8744027145e-01,2.3698566515e+00,5.3321774658e+00
25.694618,9.8744027145e-01,1.9748805429e-01,2.1723685972e+00,4.3447371944e+00
25.862010,3.9497610858e-01,1.9748805429e-01,1.5799044343e+00,3.3572969229e+00
26.029402,7.8995221716e-01,1.1849283257e+00,2.1723685972e+00,5.1346894116e+00
26.196793,7.8995221716e-01,5.9246416287e-01,1.9748805429e+00,5.3321774658e+00
26.364185,1.3824163800e+00,1.9748805429e-01,2.7648327601e+00,5.3321774658e+00
26.531577,7.8995221716e-01,3.9497610858e-01,1.7773924886e+00,3.7522730315e+00
26.698968,5.9246416287e-01,5.9246416287e-01,2.5673447058e+00,4.3447371944e+00
26.866360,1.9748805429e-01,5.9246416287e-01,1.1849283257e+00,4.9372013573e+00
27.033751,5.9246416287e-01,1.9748805429e-01,1.1849283257e+00,3.5547849772e+00
27.201143,3.9497610858e-01,5.9246416287e-01,2.5673447058e+00,6.5171057916e+00
27.368535,9.8744027145e-01,1.9748805429e-01,3.5547849772e+00,6.7145938459e+00
27.535926,3.9497610858e-01,3.9497610858e-01,2.1723685972e+00,5.1346894116e+00
27.703318,3.9497610858e-01,0.0000000000e+00,2.5673447058e+00,5.5296655201e+00
27.870710,3.9497610858e-01,5.9246416287e-01,3.1598088686e+00,4.9372013573e+00
28.038101,9.8744027145e-01,9.8744027145e-01,2.9623208144e+00,4.7397133030e+00
28.205493,7.8995221716e-01,1.1849283257e+00,2.7648327601e+00,4.5422252487e+00
28.372885,7.8995221716e-01,7.8995221716e-01,2.9623208144e+00,3.5547849772e+00
28.540276,1.9748805429e-01,5.9246416287e-01,2.1723685972e+00,5.7271535744e+00
28.707668,3.9497610858e-01,9.8744027145e-01,1.9748805429e+00,4.1472491401e+00
28.875060,9.8744027145e-01,1.3824163800e+00,2.1723685972e+00,4.3447371944e+00
29.042451,5.9246416287e-01,5.9246416287e-01,1.9748805429e+00,5.5296655201e+00
29.209843,5.9246416287e-01,0.0000000000e+00,1.9748805429e+00,5.5296655201e+00
29.377235,7.8995221716e-01,7.8995221716e-01,1.7773924886e+00,6.7145938459e+00
29.544626,1.3824163800e+00,5.9246416287e-01,1.7773924886e+00,3.5547849772e+00
29.712018,1.7773924886e+00,0.0000000000e+00,2.7648327601e+00,3.9497610858e+00
29.879410,7.8995221716e-01,1.1849283257e+00,1.3824163800e+00,5.1346894116e+00
30.046801,9.8744027145e-01,1.9748805429e-01,1.3824163800e+00,4.7397133030e+00
30.214193,3.9497610858e-01,9.8744027145e-01,1.1849283257e+00,3.3572969229e+00
30.381584,5.9246416287e-01,5.9246416287e-01,1.7773924886e+00,4.3447371944e+00
30.548976,1.9748805429e-01,5.9246416287e-01,2.7648327601e+00,4.5422252487e+00
30.716368,2.1723685972e+00,3.9497610858e-01,9.8744027145e-01,5.1346894116e+00
30.883759,3.9497610858e-01,9.8744027145e-01,2.5673447058e+00,3.9497610858e+00
31.051151,3.9497610858e-01,3.9497610858e-01,2.1723685972e+00,4.5422252487e+00
31.218543,1.9748805429e-01,5.9246416287e-01,2.3698566515e+00,5.9246416287e+00
31.385934,7.8995221716e-01,3.9497610858e-01,2.7648327601e+00,6.3196177373e+00
31.553326,7.8995221716e-01,7.8995221716e-01,3.9497610858e+00,5.1346894116e+00
31.720718,5.9246416287e-01,1.9748805429e-01,1.9748805429e+00,4.9372013573e+00
31.888109,5.9246416287e-01,5.9246416287e-01,3.1598088686e+00,5.3321774658e+00
32.055501,3.9497610858e-01,1.1849283257e+00,4.7397133030e+00,4.9372013573e+00
32.222893,5.9246416287e-01,1.1849283257e+00,3.7522730315e+00,4.5422252487e+00
32.390284,5.9246416287e-01,1.1849283257e+00,2.7648327601e+00,6.5171057916e+00
32.557676,5.9246416287e-01,9.8744027145e-01,2.5673447058e+00,4.3447371944e+00
32.725068,7.8995221716e-01,9.8744027145e-01,4.1472491401e+00,7.3070580087e+00
32.892459,1.1849283257e+00,1.3824163800e+00,3.1598088686e+00,6.5171057916e+00
33.059851,1.3824163800e+00,1.9748805429e-01,2.7648327601e+00,3.1598088686e+00
33.227243,1.1849283257e+00,7.8995221716e-01,1.9748805429e+00,4.5422252487e+00
33.394634,1.7773924886e+00,1.1849283257e+00,1.3824163800e+00,2.3698566515e+00
33.562026,1.1849283257e+00,5.9246416287e-01,5.9246416287e-01,2.1723685972e+00
33.729417,1.7773924886e+00,1.1849283257e+00,1.9748805429e+00,3.1598088686e+00
33.896809,7.8995221716e-01,9.8744027145e-01,1.5799044343e+00,3.1598088686e+00
34.064201,7.8995221716e-01,7.8995221716e-01,5.9246416287e-01,1.1849283257e+00
34.231592,5.9246416287e-01,1.1849283257e+00,1.9748805429e-01,3.3572969229e+00
34.398984,9.8744027145e-01,5.9246416287e-01,7.8995221716e-01,4.3447371944e+00
34.566376,0.0000000000e+00,1.9748805429e-01,2.1723685972e+00,6.1221296830e+00
34.733767,0.0000000000e+00,3.9497610858e-01,7.8995221716e-01,5.5296655201e+00
34.901159,0.0000000000e+00,0.0000000000e+00,2.1723685972e+00,4.7397133030e+00
35.068551,0.0000000000e+00,3.9497610858e-01,1.7773924886e+00,4.5422252487e+00
35.235942,0.0000000000e+00,3.9497610858e-01,1.7773924886e+00,5.5296655201e+00
35.403334,0.0000000000e+00,5.9246416287e-01,2.1723685972e+00,3.5547849772e+00
35.570726,0.0000000000e+00,0.0000000000e+00,3.9497610858e+00,3.3572969229e+00
35.738117,0.0000000000e+00,3.9497610858e-01,4.3447371944e+00,4.5422252487e+00
35.905509,0.0000000000e+00,3.9497610858e-01,3.3572969229e+00,6.3196177373e+00
36.072901,0.0000000000e+00,0.0000000000e+00,5.7271535744e+00,7.8995221716e+00
36.240292,0.0000000000e+00,0.0000000000e+00,7.1095699545e+00,1.0071890769e+01
36.407684,0.0000000000e+00,0.0000000000e+00,4.9372013573e+00,1.5404068235e+01
36.575075,0.0000000000e+00,0.0000000000e+00,2.9623208144e+00,2.1328709863e+01
36.742467,0.0000000000e+00,0.0000000000e+00,1.7773924886e+00,1.2244259366e+01
36.909859,0.0000000000e+00,0.0000000000e+00,3.9497610858e-01,2.5673447058e+00
37.077250,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
37.244642,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
37.412034,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
37.579425,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
37.746817,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
37.914209,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
38.081600,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
38.248992,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
38.416384,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
38.583775,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
38.751167,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
38.918559,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
39.085950,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
39.253342,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
39.420734,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
39.588125,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
39.755517,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
39.922908,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
40.090300,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
